#z m1 m2 n_cc n_ia
1.228 1.78 2.84 1.29 .76
1.259 1.23 3.12 .47 .29
1.258 1.35 3.7 .008 .005
1.397 1.31 1.64 4.42 2.55
1.428 1.35 2.12 4.52 2.7
1.837 1.43 1.79 2.21 1.25
3.117 1.61 3.43 .16 .09
3.118 1.04 1.8 .51 .29
3.06 .96 2.05 .34 .19
3.606 1 2.24 2.02 1.16
1.035 1.82 2.06 .25 .16
2.976 1.27 1.46 .38 .22
1.875 1.59 1.84 1.8 1.01
