microns throughput
2.991626405 9.345779525279566e-05
2.992977637 0.00010055167887260118
2.994328868 0.00010812521626941337
2.9956801 0.00011561805405587778
2.997031331 0.00012324587443291084
2.9983825619999998 0.0001319488183261055
2.9997337940000004 0.00014122372999528904
3.001085025 0.00015134081870418832
3.002436257 0.0001621014523644065
3.003787488 0.0001730299999608224
3.0051387199999997 0.00018446944603123372
3.006489951 0.0001972625729311301
3.007841182 0.00021129710629374203
3.009192414 0.0002258642848647597
3.0105436450000003 0.0002411444580893433
3.011894877 0.00025754845341154206
3.0132461079999997 0.0002750962538200505
3.01459734 0.0002939220232600677
3.015948571 0.00031443003974740115
3.017299803 0.0003356022257680883
3.018651034 0.00035805380582678605
3.020002265 0.00038185035549159356
3.021353497 0.00040721809525270393
3.0227047280000003 0.00043385446251234224
3.02405596 0.00046229738020527305
3.0254071909999998 0.0004927232752772009
3.0267584230000004 0.0005245041876876843
3.0281096539999997 0.0005586894464338609
3.029460886 0.0005959541166729228
3.030812117 0.0006359923459402202
3.032163348 0.0006788762953356722
3.03351458 0.0007250877950558192
3.034865811 0.0007744750396460751
3.036217043 0.0008274670168969759
3.0375682740000003 0.0008854309907863542
3.038919506 0.000947131488320612
3.0402707369999997 0.0010135006137225028
3.041621968 0.0010858591240007491
3.0429732 0.0011638893004288415
3.044324431 0.0012486748626689475
3.045675663 0.001340312016370181
3.047026894 0.0014396692512171603
3.0483781260000002 0.0015476593414602332
3.0497293570000004 0.0016652368848342977
3.051080589 0.0017905584891022724
3.05243182 0.00192658948524818
3.053783051 0.002074410909351987
3.0551342829999997 0.002235035611097074
3.056485514 0.0024099116672466952
3.057836746 0.0026000810963362313
3.059187977 0.002807110974432862
3.060539209 0.003033980966872459
3.06189044 0.00328360037536002
3.063241671 0.0035559588983433326
3.0645929030000003 0.003853247819542512
3.065944134 0.004182000533365606
3.0672953659999997 0.004536690782315894
3.068646597 0.004927831391604428
3.069997829 0.005353929169838277
3.07134906 0.005813812463497624
3.072700292 0.006317089239016576
3.074051523 0.006867350955865027
3.075402754 0.007469336059622243
3.0767539860000004 0.00812755827932323
3.0781052169999996 0.008847919624843933
3.079456449 0.009635894493739068
3.08080768 0.010504237134735486
3.0821589119999997 0.01145887396037788
3.083510143 0.01250374689085629
3.084861374 0.013647097432869328
3.086212606 0.01489799538232986
3.0875638370000003 0.016265516064076935
3.088915069 0.017759160229129586
3.0902662999999997 0.01939134008533345
3.0916175320000003 0.02117863784635768
3.092968763 0.023128692639002836
3.0943199949999998 0.025284112958451246
3.095671226 0.027601042546469317
3.097022457 0.03012131128425273
3.098373689 0.032861566366833836
3.0997249200000003 0.03583671396670242
3.101076152 0.03904551198483873
3.102427383 0.04251285854507329
3.103778615 0.04625856351057639
3.1051298459999996 0.05029926318733402
3.106481078 0.05464969835355736
3.107832309 0.05932522183734852
