4 7.600000e-02 2.218196e+02 1.600000e-01 2.317000e+01 2.185035e+01 1.666138e+00  5.159846e-01  1.791233e+02  3.233433e-02 -1.580094e+02 -2.457572e-01  3.997407e-03 4 131322
2 1.180000e-01 2.387811e+02 8.800000e-01 2.413000e+01 2.250810e+01 2.591348e+00  4.262399e-02  1.365931e+01  3.376388e-02 -1.544095e+02 -2.452842e-02  1.425729e-01 4 474132
4 1.260000e-01 1.798871e+02 6.400000e-01 2.377000e+01 2.226762e+01 1.368103e+00  2.744606e-01 -4.892542e+00  4.922587e-02  1.641205e+02 -1.130652e-02  1.223515e-01 4 567207
2 1.300000e-01 2.564484e+02 9.600000e-01 2.247000e+01 2.121008e+01 2.924059e+00  1.673990e-01  2.610562e+01  1.396565e-02 -1.146510e+02 -1.587147e-01  1.405855e-01 2 628639
2 1.320000e-01 1.678804e+02 3.500000e-01 2.261000e+01 2.217383e+01 1.073696e+00  2.794010e-01 -6.605363e+01  3.953139e-02  1.062732e+02 -9.537581e-02  2.668100e-01 4 646717
2 1.380000e-01 2.741574e+02 6.800000e-01 2.315000e+01 2.208185e+01 3.360221e+00  2.848881e-01  4.608906e+01  4.326403e-02 -8.400666e+01  4.334131e-01  3.368716e-01 2 747746
4 1.400000e-01 1.330454e+02 9.500000e-01 2.345000e+01 2.255236e+01 8.743405e-01  4.484608e-01  1.465333e+02  7.129494e-02 -6.325378e+00 -8.465228e-02 -3.716352e-02 1 757951
2 1.460000e-01 2.238721e+02 4.900000e-01 2.143000e+01 2.224515e+01 2.080172e+00  1.784446e-01  4.366617e+01  5.408357e-02  8.348790e+01  5.298966e-02  6.975048e-01 2 876463
2 1.480000e-01 1.448772e+02 5.300000e-01 2.315000e+01 2.229458e+01 8.774867e-01  3.724669e-01  9.989860e+01  9.327055e-02 -2.060465e+01  1.078916e-01 -9.066592e-02 2 894366
4 1.660000e-01 1.636817e+02 1.050000e+00 2.399000e+01 2.192371e+01 1.316179e+00  7.921431e-02 -1.506710e+02  5.396951e-02 -1.414665e+02  8.298651e-03 -1.864726e-02 1 1255035
2 1.820000e-01 2.558586e+02 2.700000e-01 2.103000e+01 2.203659e+01 1.092377e+00  2.939556e-01 -1.520036e+02  5.878181e-02 -2.350219e+01  4.563131e-02  3.735631e-01 1 1656598
