#z m1 m2 n_cc n_ia
1.688 1.52 1.86 1.84 1.17
1.888 1.1 2.31 .12 .07
3.98 1.4 3.79 .41 .23
3.58 2.18 1.69 4.46 2.92
2.019 1.35 1.37 .53 .3
3.975 1.36 3.53 .14 .08
2.656 1.24 4.55 .016 .009
1.043 1.51 2.34 .014 .008
3.054 1.35 2.37 .11 .06
1.025 1.59 1.86 .04 .02
3.785 1.57 4.87 1.65 .93
3.692 1.43 1.58 .38 .21
