#z m1 m2 n_cc n_ia
.8 1.78 2.8 .06 .04
.73 2.44 2.11 .9 .54
1.95 2.4 3.59 .31 .18
1.27 1.45 1.62 .64 .36
1.28 4.21 2.99 .12 .07
1.06 1.41 1.68 3.16 2.06
2.75 1.29 2.79 4.7 2.7
1.52 1.52 1.48 .11 .06
3.13 .89 2.37 .33 .19
3.71 1.06 .97 .23 .13
3.77 1.5 2.63 .07 .04
1.26 1.27 3.73 .24 .14
3.13 .91 2.25 .15 .08
